5 points/ms
29/03/2012

***
-47.8017500000,-47.8339560000,-48.3170400000,-48.0593950000,-48.1238060000,-48.2848350000,-47.3186660000,-47.7695450000,-47.4796940000,-48.9611530000,-53.4377330000,-53.1478830000,-56.1430050000,-40.5232800000,-41.8437110000,-42.1979730000
-47.6729280000,-47.9627780000,-48.3170400000,-48.0271900000,-48.2526290000,-48.2848350000,-47.4474880000,-48.0593950000,-47.4152830000,-48.8967410000,-53.1156770000,-53.2122940000,-56.1108000000,-40.3300470000,-41.9081220000,-41.8437110000
-47.7695450000,-47.6407220000,-48.2204230000,-47.9949840000,-48.1560120000,-48.3814510000,-47.2220490000,-47.8339560000,-47.6085170000,-48.8645360000,-53.0834720000,-53.0834720000,-56.1430050000,-40.5554860000,-41.8759160000,-41.8759160000
-47.6407220000,-47.9949840000,-48.3492460000,-48.0271900000,-47.8661620000,-48.3170400000,-47.2864600000,-47.8983670000,-47.5119000000,-49.0255640000,-52.9546490000,-53.0190600000,-56.0463880000,-40.4588690000,-42.1013560000,-42.0691500000
-47.8661620000,-48.0916010000,-48.4136570000,-47.9627780000,-47.9627780000,-48.2848350000,-47.4474880000,-47.8339560000,-47.5441050000,-49.1543860000,-53.1156770000,-53.0512660000,-56.1430050000,-40.2656350000,-41.8437110000,-41.9081220000
-47.8339560000,-48.1560120000,-48.4458630000,-47.7051330000,-48.0271900000,-48.0593950000,-47.5763110000,-47.7051330000,-47.3830770000,-48.9611530000,-53.0190600000,-53.0512660000,-56.0785940000,-40.2656350000,-41.9403280000,-42.0047390000
-47.8339560000,-48.2526290000,-48.2848350000,-47.9305730000,-48.2204230000,-48.2204230000,-47.3186660000,-47.8661620000,-47.3186660000,-49.1543860000,-52.8902380000,-53.1800880000,-56.0785940000,-40.3944580000,-41.9081220000,-42.0369440000
-47.8983670000,-47.8983670000,-48.5424790000,-48.0271900000,-48.0593950000,-48.0916010000,-47.5763110000,-47.5763110000,-47.3186660000,-49.0899750000,-53.1800880000,-53.0834720000,-55.9175660000,-40.2012240000,-41.7792990000,-42.0047390000
-47.7695450000,-47.8983670000,-48.6068910000,-47.8661620000,-48.2204230000,-48.0916010000,-47.6729280000,-47.8339560000,-47.4796940000,-49.0577690000,-53.1800880000,-52.9868550000,-55.9819770000,-40.2334300000,-41.5860660000,-42.1335610000
-47.8983670000,-48.0271900000,-48.2848350000,-47.8661620000,-48.2848350000,-48.2848350000,-47.5763110000,-47.8017500000,-47.4796940000,-48.9933580000,-53.1156770000,-52.9224440000,-56.0785940000,-40.2012240000,-41.7148880000,-42.2301780000
-47.9627780000,-48.0271900000,-48.5746850000,-47.9627780000,-48.2526290000,-48.1560120000,-47.3830770000,-47.6729280000,-47.4474880000,-48.9933580000,-53.2122940000,-53.1800880000,-56.0141830000,-40.2012240000,-41.6182710000,-42.0691500000
